"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "22351", "25300",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "21272", "22251",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "2838", "5096",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "6382", "6382",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "15455", "18801",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "25890", "27508",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "2892", "2957",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "4243", "4243",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "5478", "6558",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "10013", "10134",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2908", "3196",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC (PwD)", "Gender-Neutral", "127", "127",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1391", "1449",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "18509", "21840",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "17071", "23228",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "661", "661",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "3392", "5170",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "5040", "5040",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "14154", "20255",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "17473", "19352",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "3643", "3755",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "4979", "4979",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "9106", "15430",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "8306", "8306",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "12352", "13853",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "19857", "21061",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "448", "448",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "2024", "2075",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "3467", "3467",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "4044", "4737",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "9489", "9517",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "231", "231",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2222", "2630",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "3783", "3783",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "794", "1159",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "1713", "1713",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "19565", "23031",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "25967", "25967",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "5223", "5223",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "5188", "5188",""
