"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank","Closing Rank" ,"Institute Type"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "14154","21786" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "19352","20255" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "3643","3894" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "4979","4979" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "9106","29781" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "20583","20583" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "13926","15255" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "23716","25009" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "448","448" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "2282","2313" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "4360","4360" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "4813","5575" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "9489","10013" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "319","319" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2222","3225" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "3783","3783" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1144","1207" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "1893","1893" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "19565","26046" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "26051","26051" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "5746","5746" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "6104","6104" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "22109","24664" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "27115","27115" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "4559","4594" ,"NIT"
