"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank","State","Institute Type"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "7307", "7307","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "13511", "33738","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "21898", "40885","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "4550", "6638","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "7387", "7387","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "6588", "9295","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "19836", "19836","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "11652", "15270","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "22206", "23262","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "848", "941","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "2388", "2412","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "3811", "3811","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS (PwD)", "Gender-Neutral", "152", "152","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "5133", "5653","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "8211", "8408","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "3120", "3552","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "4615", "4615","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1101", "1167","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "1569", "1569","Punjab","NIT"
